canonical_key,total_mentions,variations,final_gender_contextual,coref_gender
Elizabeth_Bennet,755,"Eliza, Eliza Bennet, Elizabeth, Elizabeth Bennet, Lizzy",Female,Female
Mr_Darcy,422,"Darcy, Fitzwilliam Darcy",Male,Male
Mrs_Bennet,319,Bennet,Female,Female
Mr_Bingley,306,Bingley,Male,Male
Jane_Bennet,295,Jane,Female,Female
Mr_Wickham,198,"George, George Wickham, Wickham",Male,Male
Collins,189,Collins,Male,Male
Lydia_Bennet,175,"LYDIA BENNET, Lydia, Lydia Bennet",Female,Female
Lady_Catherine,116,Catherine,Female,Female
Gardiner,94,Gardiner,Female,Female
Charlotte,87,"Charlotte, Charlotte Lucas",Female,Female
Kitty_Bennet,71,Kitty,Female,Female
Lucas,44,Lucas,Female,Female
Mary_Bennet,39,Mary,Female,Female
Forster,39,Forster,Female,Female
Fitzwilliam,35,Fitzwilliam,Male,Male
Philips,34,Philips,Female,Female
Hurst,33,Hurst,Female,Female
William,32,William,Male,Male
Austen,25,Austen,Female,Female
Pemberley,18,Pemberley,Unknown,Male
maria,18,Maria,Female,Female
Caroline_Bingley,17,"CAROLINE BINGLEY, Caroline, Caroline Bingley",Female,Female
Long,15,Long,Female,Female
Lucases,15,Lucases,Female,Female
Longbourn,15,Longbourn,Unknown,Male
Georgiana,14,Georgiana,Female,Female
Netherfield,13,Netherfield,Unknown,Male
de Bourgh,13,de Bourgh,Female,Female
Catherine de Bourgh,13,Catherine de Bourgh,Male,Male
Denny,12,Denny,Male,Male
De Bourgh,11,De Bourgh,Female,Female
Bennets,10,Bennets,Female,Female
Reynolds,10,Reynolds,Female,Female
William Lucas,9,William Lucas,Male,Male
Jenkinson,9,Jenkinson,Female,Female
Hill,8,Hill,Female,Female
Charles,7,Charles,Male,Male
Mr.,7,Mr.,Unknown,Male
Hunsford,6,Hunsford,Unknown,Male
Collinses,6,Collinses,Female,Female
Louisa_Hurst,6,Louisa,Female,Female
Bingleys,6,Bingleys,Female,Female
Mrs.,5,Mrs.,Unknown,Unknown
Jones,5,Jones,Female,Female
Rosings,5,Rosings,Unknown,Female
F.,5,F.,Unknown,Male
Gardiners,5,Gardiners,Male,Male
King,5,King,Male,Male
Addison,5,Addison,Female,Female
Anne,4,Anne,Female,Female
Carter,4,Carter,Unknown,Male
Younge,4,Younge,Female,Female
Fielding,4,Fielding,Unknown,Unknown
Robinson,3,Robinson,Male,Male
Annesley,3,Annesley,Female,Female
Emma,3,Emma,Female,Female
Swift,3,Swift,Female,Female
Lewis de Bourgh,3,Lewis de Bourgh,Unknown,Unknown
Crawford,2,Crawford,Male,Male
GARDINER,2,GARDINER,Female,Female
Harriet,2,Harriet,Female,Female
La,2,La,Unknown,Unknown
Pratt,2,Pratt,Male,Male
Eltons,2,Eltons,Female,Female
Norris,2,Norris,Male,Male
Mamma,2,Mamma,Female,Female
Mary King,2,Mary King,Unknown,Unknown
Gouldings,2,Gouldings,Unknown,Unknown
Haggerston,2,Haggerston,Unknown,Unknown
Fanny,2,Fanny,Female,Female
Ladyship,2,Ladyship,Female,Female
Miller,2,Miller,Unknown,Unknown
Maria_Lucas,2,Maria Lucas,Female,Female
Thackeray,2,Thackeray,Unknown,Female
Lizzie,2,Lizzie,Male,Male
John,2,John,Male,Male
W.,2,W.,Unknown,Female
Cruscans,2,Cruscans,Unknown,Unknown
Philipses,2,Philipses,Unknown,Unknown
Shapely,1,Shapely,Female,Female
Jane Austen's,1,Jane Austen's,Unknown,Unknown
Smollett,1,Smollett,Unknown,Unknown
Burney,1,Burney,Unknown,Unknown
Mentor,1,Mentor,Female,Female
Jane Austen,1,Jane Austen,Unknown,Unknown
"Hugh Thomson



Ruskin",1,"Hugh Thomson



Ruskin",Unknown,Unknown
John Thorpe,1,John Thorpe,Unknown,Unknown
Spectator,1,Spectator,Unknown,Unknown
Bates,1,Bates,Female,Female
Frank Churchill,1,Frank Churchill,Unknown,Unknown
Jane Fairfax,1,Jane Fairfax,Unknown,Unknown
George Allen,1,George Allen,Unknown,Unknown
Clarke,1,Clarke,Unknown,Unknown
Edmund,1,Edmund,Male,Male
Walt Whitman,1,Walt Whitman,Unknown,Unknown
Rushworth,1,Rushworth,Unknown,Unknown
Argemone Lavington,1,Argemone Lavington,Unknown,Unknown
Hursts,1,Hursts,Unknown,Unknown
Diana Vernon,1,Diana Vernon,Unknown,Unknown
Mary Wollstonecraft,1,Mary Wollstonecraft,Unknown,Unknown
Meissonier,1,Meissonier,Unknown,Male
Watson,1,Watson,Male,Male
George Saintsbury,1,George Saintsbury,Unknown,Unknown
William Lucas's,1,William Lucas's,Unknown,Unknown
Barbara Grant,1,Barbara Grant,Unknown,Unknown
Beatrix,1,Beatrix,Unknown,Unknown
Michaelmas,1,Michaelmas,Male,Male
Beatrix Esmond,1,Beatrix Esmond,Unknown,Unknown
SAINTSBURY,1,SAINTSBURY,Unknown,Unknown
Barbara,1,Barbara,Female,Female
Diana,1,Diana,Female,Female
Argemone,1,Argemone,Unknown,Unknown
Morris,1,Morris,Male,Male
Della,1,Della,Unknown,Unknown
Goldwin Smith,1,Goldwin Smith,Female,Female
Musgrove,1,Musgrove,Female,Female
John Dashwood,1,John Dashwood,Unknown,Unknown
M. de Maupassant,1,M. de Maupassant,Unknown,Unknown
Memling,1,Memling,Unknown,Unknown
Cosway,1,Cosway,Unknown,Unknown
Metcalfe,1,Metcalfe,Unknown,Unknown
Coleridge,1,Coleridge,Unknown,Unknown
"Jane Bennet,--she",1,"Jane Bennet,--she",Female,Female
Fordyce,1,Fordyce,Unknown,Unknown
Henry Tilney,1,Henry Tilney,Unknown,Unknown
Don Juanish,1,Don Juanish,Male,Male
Venus,1,Venus,Unknown,Unknown
Mr_Collins,1,WILLIAM COLLINS,Male,Male
Catherine de Bourgh's,1,Catherine de Bourgh's,Male,Male
Richard,1,Richard,Male,Male
God,1,God,Unknown,Unknown
Anne Darcy,1,Anne Darcy,Unknown,Unknown
Pope,1,Pope,Unknown,Unknown
Ramsgate,1,Ramsgate,Female,Female
Grantley,1,Grantley,Female,Female
Vain,1,Vain,Female,Female
Nicholls,1,Nicholls,Male,Male
Georgiana Darcy,1,Georgiana Darcy,Female,Female
Lucas Lodge,1,Lucas Lodge,Male,Male
Webbs,1,Webbs,Unknown,Unknown
Austen Leigh,1,Austen Leigh,Female,Female
Dovedale,1,Dovedale,Female,Female
FITZWILLIAM DARCY.,1,FITZWILLIAM DARCY.,Unknown,Unknown
Harringtons,1,Harringtons,Unknown,Unknown
Dawson,1,Dawson,Male,Male
Matlock,1,Matlock,Female,Female
Chamberlayne,1,Chamberlayne,Unknown,Unknown
Colonel,1,Colonel,Male,Male
Pen,1,Pen,Unknown,Male
Sally,1,Sally,Female,Female
Lydia Wickham,1,Lydia Wickham,Unknown,Unknown
Forsters,1,Forsters,Unknown,Unknown
L.,1,L.,Unknown,Unknown
EDW. GARDINER.,1,EDW. GARDINER.,Unknown,Unknown
Ashworth,1,Ashworth,Unknown,Female
William Goulding,1,William Goulding,Male,Male
Stone,1,Stone,Unknown,Unknown
Nichols,1,Nichols,Female,Female
Sarah,1,Sarah,Female,Female
Scott,1,Scott,Unknown,Unknown
Bromley,1,Bromley,Unknown,Unknown
Lambton,1,Lambton,Female,Female
